machine_id,hoh_most_education,census_region,household_size,hoh_oldest_age,household_income,children,racial_background,connection_speed,country_of_origin,zip_code
48848784,2,3,4,8,12,1,1,1,0,
81191519,2,4,3,8,12,0,1,1,1,93454
81253085,3,4,5,7,12,1,1,1,0,81055
87167794,3,2,2,9,12,0,2,1,0,48221
92330491,3,4,2,11,14,1,1,1,0,84120
93919854,99,3,4,3,11,1,5,1,0,74733
94485706,5,99,4,11,17,1,3,1,1,99999
98137794,2,4,1,10,13,0,1,1,0,
112442173,99,2,3,9,13,1,2,1,0,45419
113723390,2,2,2,5,11,1,1,1,0,
119721244,4,4,1,8,16,0,1,1,0,90045
120199011,99,3,5,10,11,0,5,1,1,
121709353,99,3,4,1,11,1,2,1,0,31008
122156866,99,4,2,9,12,0,1,1,0,85365
122519628,99,4,1,8,12,0,1,1,1,85546
122960880,99,1,2,7,11,0,5,1,1,13603
123043950,99,1,2,10,16,0,5,1,1,11756
123048183,99,2,1,1,11,0,2,1,0,44120
123381748,99,3,1,6,12,0,1,1,0,31525
124364391,99,3,5,11,16,1,1,1,1,34786
124374318,2,3,2,11,13,1,1,1,0,73446
126015280,2,2,1,9,11,0,1,1,0,46227
126204609,99,3,2,6,11,0,1,1,0,28326
126367244,99,2,2,4,11,1,2,1,0,47909
126428274,99,3,2,7,13,1,5,1,0,30328
126682727,99,3,5,7,12,1,1,1,0,30223
126836620,99,3,1,3,11,0,2,1,0,
127095836,99,3,1,4,12,0,2,1,1,32868
127854728,4,2,1,10,16,0,1,1,0,
128746330,1,3,2,10,11,0,1,1,0,75605
130024050,99,3,4,7,16,0,1,1,0,20886
132113254,99,2,2,5,12,0,1,1,0,46221
132352616,99,2,4,9,12,0,3,1,0,56353
133970421,99,2,4,6,11,1,5,1,1,46802
134597774,1,3,5,9,12,1,1,1,0,27591
135601031,99,4,1,7,11,0,5,1,1,93722
136378036,2,3,1,5,11,0,2,1,1,79022
137078629,99,4,5,7,16,1,5,1,0,92867
137476206,99,2,2,8,12,0,1,1,0,60056
137782441,99,2,5,3,12,0,3,1,0,65284
137789018,99,4,2,6,18,1,5,1,0,97223
138179541,2,1,4,7,14,1,1,1,0,11385
138407833,99,3,1,6,13,0,1,1,0,76010
138603297,99,4,4,1,13,1,5,1,0,91340
138666050,99,1,2,9,12,0,1,1,0,15963
138791339,99,4,1,7,16,0,5,1,0,98038
138887845,99,4,2,2,16,0,1,1,0,93933
139109391,99,4,1,4,16,0,3,1,0,94566
139211655,4,2,2,4,11,0,1,1,0,48917
139267316,99,4,1,5,11,0,5,1,0,84118
139422706,99,3,5,4,11,1,3,1,0,33142
139429814,99,4,2,5,11,0,2,1,0,84138
140106368,3,2,4,8,11,1,1,1,1,45875
141157167,99,3,4,8,12,1,5,1,0,30736
142832400,99,1,1,8,16,0,1,1,0,07016
142992999,99,1,5,5,11,1,5,1,0,19142
143059565,99,3,2,2,11,1,1,1,0,29209
143107483,1,2,4,6,11,1,2,1,0,60402
143366732,4,4,2,11,16,0,1,1,0,96814
143417534,99,4,2,9,11,0,3,1,0,91789
143421322,99,3,1,7,18,0,5,1,0,20001
143612966,4,1,5,6,13,1,5,1,1,
143619644,3,4,3,11,15,1,1,1,0,92882
143624126,3,1,4,9,17,1,1,1,0,07748
144391310,2,1,2,10,13,1,1,1,0,01105
144416557,99,1,5,4,11,0,1,1,0,03244
144654106,99,4,3,2,12,1,5,1,0,93277
145216540,99,4,4,8,18,1,1,1,0,91101
145471460,99,4,2,7,11,0,2,1,0,84123
145865616,2,1,3,11,16,0,1,1,0,
145866245,2,3,4,11,13,1,1,1,0,32533
145962025,99,2,5,8,11,1,5,1,0,51246
146332731,99,2,5,11,11,1,5,1,0,45503
146486673,99,3,1,8,11,0,1,1,0,78207
146536854,99,1,3,7,11,0,5,1,1,10455
146667175,99,4,4,4,16,0,1,1,0,80909
146718555,2,2,5,7,15,1,2,1,0,44119
146809345,2,3,5,7,15,1,5,1,0,70648
146892991,3,4,1,7,12,0,1,1,0,93230
147054398,3,4,4,9,15,0,2,1,0,94610
147089772,4,3,3,10,15,1,5,1,0,75270
147182051,3,1,4,1,15,1,1,1,1,08061
147368449,99,1,2,10,12,1,1,1,0,14901
147713733,99,4,4,4,12,1,5,1,1,89110
148065763,99,3,1,9,12,0,1,1,0,78624
148596594,99,4,1,8,11,0,5,1,0,87110
148675540,99,4,5,7,11,0,5,1,0,90063
149547990,4,3,2,5,12,0,5,1,0,78665
149930143,99,3,3,1,11,1,2,1,0,73010
150200381,99,4,2,6,13,1,5,1,0,95113
150354087,2,2,5,6,12,1,1,1,0,45356
150811721,99,3,4,5,11,1,1,1,0,34741
151101429,3,1,5,6,18,1,5,1,0,02861
151161919,99,3,2,6,16,0,1,1,0,78665
151345269,99,3,3,3,11,0,2,1,1,33102
151496481,4,4,2,7,18,1,1,1,0,91010
151564032,99,2,5,11,18,1,1,1,0,64055
151611892,99,3,5,8,11,1,2,1,1,76542
151704935,99,4,2,8,12,0,1,1,0,92583
151810895,2,3,5,10,13,1,5,1,0,24739
152571694,99,3,2,7,12,0,2,1,1,73942
153093999,99,3,4,2,12,1,1,1,0,41042
153246674,99,2,5,4,13,0,5,1,0,44601
153365641,2,2,5,11,11,1,5,1,0,62226
153969458,99,3,1,8,16,0,3,1,0,78750
154625182,99,4,4,7,16,0,3,1,1,92704
155030591,2,3,2,11,15,0,1,1,0,40065
155049290,99,4,3,8,11,1,1,1,1,98665
155261781,4,3,5,4,11,1,1,1,0,71111
155404871,4,3,1,6,17,0,5,1,1,32216
155690180,2,3,3,4,12,1,2,1,1,70570
155721619,2,2,2,10,15,1,1,1,0,60160
155921925,99,2,2,9,12,0,1,1,0,48473
155978670,2,1,2,8,11,0,1,1,0,03064
155999330,99,1,2,4,11,0,5,1,1,01109
156087256,99,2,1,8,16,0,2,1,0,68901
156323691,99,3,1,9,11,0,1,1,0,25951
156368740,2,2,5,7,15,0,1,1,0,63379
156375270,99,2,1,6,11,0,1,1,1,46224
156498998,99,3,2,1,11,1,2,1,1,78210
156594293,99,3,2,11,11,0,1,1,0,34744
156705874,99,4,2,5,12,0,1,1,1,89108
156801413,99,3,2,8,18,0,5,1,1,20878
157461536,99,4,2,2,11,1,5,1,1,98951
157508695,2,2,1,10,11,0,1,1,0,47501
157641366,99,3,1,8,12,0,5,1,0,31321
157662231,99,2,2,8,11,0,5,1,0,
157867791,2,1,4,6,12,1,1,1,0,14779
157987722,99,1,5,6,13,0,5,1,1,02906
158465727,99,2,2,8,12,0,1,1,0,62040
158502952,99,3,2,7,12,0,1,1,0,34953
158902802,99,2,2,7,12,0,1,1,0,50320
158903142,99,4,3,8,13,0,3,1,0,91016
159234540,99,99,5,3,14,1,5,1,0,99999
159379361,99,4,5,1,11,1,5,1,0,93241
159391168,99,3,2,7,12,0,1,1,0,37188
159737658,4,2,4,6,14,1,1,1,0,55407
159789391,99,4,2,3,18,1,3,1,0,94582
159818487,99,2,1,8,12,0,1,1,0,48091
159837210,99,3,2,9,14,0,1,1,0,70003
159875549,3,1,4,7,14,1,1,1,0,08234
159876921,4,2,4,11,11,1,1,1,0,43213
159927425,99,3,1,7,11,0,1,1,0,41011
159933693,99,4,2,1,12,1,5,1,1,98908
160017230,99,4,2,7,16,0,5,1,0,95032
