"machine_id","total_pages","id_tot","hoh_most_education","census_region","household_size","hoh_oldest_age","household_income","children","racial_background","connection_speed","country_of_origin","zip_code"
48848784,127,0,2,3,4,8,12,1,1,1,0,NA
81191519,204,0,2,4,3,8,12,0,1,1,1,93454
81253085,195,3.85,3,4,5,7,12,1,1,1,0,81055
87167794,21,0,3,2,2,9,12,0,2,1,0,48221
92330491,67,0,3,4,2,11,14,1,1,1,0,84120
93919854,7,0,99,3,4,3,11,1,5,1,0,74733
94485706,152,0,5,99,4,11,17,1,3,1,1,99999
98137794,4,0,2,4,1,10,13,0,1,1,0,NA
112442173,215,0,99,2,3,9,13,1,2,1,0,45419
113723390,36,0,2,2,2,5,11,1,1,1,0,NA
119721244,462,74.64,4,4,1,8,16,0,1,1,0,90045
120199011,1955,0,99,3,5,10,11,0,5,1,1,NA
121709353,1790,11.42,99,3,4,1,11,1,2,1,0,31008
122156866,35,0,99,4,2,9,12,0,1,1,0,85365
122519628,12,0,99,4,1,8,12,0,1,1,1,85546
123043950,1,0,99,1,2,10,16,0,5,1,1,11756
123048183,5,0,99,2,1,1,11,0,2,1,0,44120
123381748,6,0,99,3,1,6,12,0,1,1,0,31525
124364391,6,0,99,3,5,11,16,1,1,1,1,34786
124374318,694,2685.91,2,3,2,11,13,1,1,1,0,73446
126015280,22,0,2,2,1,9,11,0,1,1,0,46227
126204609,164,0,99,3,2,6,11,0,1,1,0,28326
126367244,35,0,99,2,2,4,11,1,2,1,0,47909
126428274,1,0,99,3,2,7,13,1,5,1,0,30328
126682727,23,0,99,3,5,7,12,1,1,1,0,30223
126836620,224,0,99,3,1,3,11,0,2,1,0,NA
127095836,3,0,99,3,1,4,12,0,2,1,1,32868
127854728,20,0,4,2,1,10,16,0,1,1,0,NA
128746330,9,0,1,3,2,10,11,0,1,1,0,75605
130024050,84,80.52,99,3,4,7,16,0,1,1,0,20886
132113254,7,0,99,2,2,5,12,0,1,1,0,46221
132352616,62,0,99,2,4,9,12,0,3,1,0,56353
133970421,18,0,99,2,4,6,11,1,5,1,1,46802
134597774,1383,0,1,3,5,9,12,1,1,1,0,27591
135601031,19,0,99,4,1,7,11,0,5,1,1,93722
136378036,51,0,2,3,1,5,11,0,2,1,1,79022
137078629,203,0,99,4,5,7,16,1,5,1,0,92867
137476206,2,0,99,2,2,8,12,0,1,1,0,60056
137782441,8,0,99,2,5,3,12,0,3,1,0,65284
137789018,1222,0,99,4,2,6,18,1,5,1,0,97223
138179541,7,0,2,1,4,7,14,1,1,1,0,11385
138407833,149,0,99,3,1,6,13,0,1,1,0,76010
138603297,1,0,99,4,4,1,13,1,5,1,0,91340
138666050,734,0,99,1,2,9,12,0,1,1,0,15963
138791339,1,0,99,4,1,7,16,0,5,1,0,98038
